Class,Nord In,Nord Out,East In,East Out,South In,South Out,West In,West Out,timestamp
bus,0,0,0,0,0,0,0,0,10/4/2024 12:19
car,0,5,1,0,3,0,2,0,10/4/2024 12:19
motorcycle,4,6,1,1,10,1,1,3,10/4/2024 12:19
truck,0,0,0,0,0,0,0,0,10/4/2024 12:19
bus,0,0,0,0,0,0,0,0,10/4/2024 12:58
car,0,0,0,0,1,0,0,2,10/4/2024 12:58
motorcycle,1,0,4,0,2,0,0,1,10/4/2024 12:58
truck,0,0,0,0,0,0,0,0,10/4/2024 12:58
bus,0,0,0,0,0,0,0,0,10/4/2024 12:59
car,0,3,3,1,0,0,0,0,10/4/2024 12:59
motorcycle,1,8,3,0,5,0,0,0,10/4/2024 12:59
truck,0,0,0,0,0,0,0,0,10/4/2024 12:59
bus,0,0,0,0,0,0,0,0,10/4/2024 13:12
car,0,0,0,0,1,0,0,0,10/4/2024 13:12
motorcycle,1,9,0,0,4,0,2,0,10/4/2024 13:12
truck,0,0,0,0,0,0,0,0,10/4/2024 13:12
bus,0,0,0,0,0,0,0,0,10/4/2024 19:57
car,1,0,3,0,1,6,1,0,10/4/2024 19:57
motorcycle,3,2,0,0,3,1,1,0,10/4/2024 19:57
truck,0,0,0,0,0,0,0,0,10/4/2024 19:57
bus,0,0,0,0,0,0,0,0,10/4/2024 20:02
car,0,0,0,0,0,0,0,0,10/4/2024 20:02
motorcycle,4,1,1,0,0,3,0,0,10/4/2024 20:02
truck,0,0,0,0,0,1,0,0,10/4/2024 20:02
bus,0,0,0,0,0,0,0,0,10/4/2024 20:10
car,4,6,7,1,4,6,0,3,10/4/2024 20:10
motorcycle,13,8,19,0,14,23,8,17,10/4/2024 20:10
truck,0,0,0,0,0,0,0,0,10/4/2024 20:10
bus,0,0,0,0,0,0,0,0,10/4/2024 20:10
car,4,6,7,1,4,6,0,3,10/4/2024 20:10
motorcycle,13,8,19,0,14,23,8,17,10/4/2024 20:10
truck,0,0,0,0,0,0,0,0,10/4/2024 20:10
bus,0,0,0,0,0,0,0,0,10/4/2024 20:15
car,3,0,6,0,0,5,0,0,10/4/2024 20:15
motorcycle,11,4,10,0,3,21,0,0,10/4/2024 20:15
truck,0,0,0,0,0,0,0,0,10/4/2024 20:15
bus,0,0,0,0,0,0,0,0,10/4/2024 20:25
car,1,9,6,0,5,4,2,1,10/4/2024 20:25
motorcycle,16,14,5,2,11,24,11,4,10/4/2024 20:25
truck,0,0,1,0,0,0,1,2,10/4/2024 20:25
bus,0,0,0,0,0,0,0,0,10/8/2024 14:37
car,0,3,0,0,3,0,0,0,10/8/2024 14:37
motorcycle,0,2,1,0,2,0,1,0,10/8/2024 14:37
truck,0,0,0,0,0,0,0,0,10/8/2024 14:37
bus,0,0,0,0,0,0,0,0,10/8/2024 14:38
car,2,0,2,0,0,2,0,0,10/8/2024 14:38
motorcycle,4,2,5,0,1,6,1,0,10/8/2024 14:38
truck,0,0,0,0,0,0,0,0,10/8/2024 14:38
bus,0,0,0,0,0,0,0,0,10/8/2024 14:54
car,5,1,4,5,2,3,0,0,10/8/2024 14:54
motorcycle,18,3,5,1,3,36,5,2,10/8/2024 14:54
truck,0,0,0,0,1,1,0,0,10/8/2024 14:54
bus,0,0,0,0,0,0,0,0,10/8/2024 16:06
car,1,5,0,0,3,0,0,1,10/8/2024 16:06
motorcycle,3,11,4,0,11,3,4,2,10/8/2024 16:06
truck,0,0,0,0,1,0,0,0,10/8/2024 16:06
bus,0,0,0,0,0,0,0,0,10/9/2024 13:25
car,1,3,9,4,6,8,4,4,10/9/2024 13:25
motorcycle,19,18,14,18,21,13,9,15,10/9/2024 13:25
truck,0,1,0,1,1,0,0,1,10/9/2024 13:25
bus,0,0,0,0,0,0,0,0,10/9/2024 13:35
car,2,0,2,1,0,1,0,1,10/9/2024 13:35
motorcycle,1,5,2,3,9,1,1,5,10/9/2024 13:35
truck,0,0,0,0,0,0,1,1,10/9/2024 13:35
bus,0,0,0,0,0,0,0,0,10/9/2024 13:50
car,1,0,3,0,0,1,1,4,10/9/2024 13:50
motorcycle,1,4,1,1,2,1,0,2,10/9/2024 13:50
truck,0,0,0,0,0,0,0,0,10/9/2024 13:50
bus,0,0,0,0,0,0,0,0,10/9/2024 14:02
car,0,0,0,0,0,0,0,1,10/9/2024 14:02
motorcycle,1,1,4,0,2,1,1,4,10/9/2024 14:02
truck,0,0,0,0,0,0,0,0,10/9/2024 14:02
bus,0,0,0,0,0,0,0,0,10/9/2024 14:14
car,0,0,1,1,0,0,0,0,10/9/2024 14:14
motorcycle,3,3,1,4,0,0,0,0,10/9/2024 14:14
truck,0,0,0,0,1,0,0,0,10/9/2024 14:14
bus,0,0,0,0,0,0,0,0,2024-10-09 14:17:09
car,0,0,0,2,0,0,0,0,2024-10-09 14:17:09
motorcycle,0,1,2,0,0,0,0,0,2024-10-09 14:17:09
truck,0,0,0,0,0,0,1,0,2024-10-09 14:17:09
bus,0,0,0,0,0,0,3,0,2024-10-09 14:24:39
car,14,19,21,12,12,11,7,3,2024-10-09 14:24:39
motorcycle,78,66,29,5,67,88,32,25,2024-10-09 14:24:39
truck,0,2,1,0,2,2,1,0,2024-10-09 14:24:39
bus,0,0,0,0,0,0,0,0,2024-10-09 14:26:31
car,6,9,6,0,6,5,2,2,2024-10-09 14:26:31
motorcycle,24,17,23,2,30,29,6,16,2024-10-09 14:26:31
truck,2,0,0,0,0,2,0,0,2024-10-09 14:26:31
bus,0,0,0,0,0,0,0,0,2024-10-09 14:32:45
car,0,0,0,0,0,0,0,0,2024-10-09 14:32:45
motorcycle,0,0,0,0,0,0,0,0,2024-10-09 14:32:45
truck,0,0,0,0,0,0,0,0,2024-10-09 14:32:45
bus,0,0,0,0,0,0,0,0,2024-10-09 14:34:52
car,2,7,10,1,5,1,2,2,2024-10-09 14:34:52
motorcycle,11,34,8,7,33,11,15,19,2024-10-09 14:34:52
truck,0,0,0,0,0,0,0,0,2024-10-09 14:34:52
bus,0,0,0,0,0,0,0,0,2024-10-09 14:36:16
car,4,6,7,0,3,4,0,1,2024-10-09 14:36:16
motorcycle,18,17,13,0,11,25,7,1,2024-10-09 14:36:16
truck,1,0,0,0,0,0,0,1,2024-10-09 14:36:16
bus,0,0,0,0,0,0,0,0,2024-10-09 14:37:48
car,6,0,4,0,0,6,0,2,2024-10-09 14:37:48
motorcycle,19,6,14,1,9,27,7,6,2024-10-09 14:37:48
truck,0,0,0,0,0,0,0,0,2024-10-09 14:37:48
bus,0,0,0,0,0,0,0,0,2024-10-09 14:40:00
car,4,0,10,4,1,7,3,2,2024-10-09 14:40:00
motorcycle,34,17,32,11,23,37,13,25,2024-10-09 14:40:00
truck,0,1,1,0,1,0,1,2,2024-10-09 14:40:00
bus,0,0,0,0,0,0,0,0,2024-10-09 14:46:28
car,0,0,2,0,0,0,0,0,2024-10-09 14:46:28
motorcycle,0,0,0,4,0,0,5,0,2024-10-09 14:46:28
truck,0,0,0,0,0,0,0,0,2024-10-09 14:46:28
bus,0,0,1,0,0,1,0,0,2024-10-09 15:00:00
car,3,12,16,9,9,6,6,4,2024-10-09 15:00:00
motorcycle,39,60,26,19,59,49,31,13,2024-10-09 15:00:00
truck,1,1,1,0,1,1,1,0,2024-10-09 15:00:00
