Class,Nord In,Nord Out,East In,East Out,South In,South Out,West In,West Out,timestamp
bus,0,0,0,0,0,0,0,0,2024-10-20 15:40:00
car,0,0,0,0,1,0,0,0,2024-10-20 15:40:00
motorcycle,2,1,0,0,4,2,3,1,2024-10-20 15:40:00
truck,0,0,0,0,0,0,0,0,2024-10-20 15:40:00
bus,0,0,0,0,0,0,0,0,2024-10-20 15:43:32
car,1,0,1,0,0,0,0,1,2024-10-20 15:43:32
motorcycle,0,0,2,0,6,4,5,5,2024-10-20 15:43:32
truck,0,0,0,0,0,0,0,0,2024-10-20 15:43:32
bus,0,0,0,0,0,0,0,0,2024-10-21 20:13:04
car,0,0,0,0,0,7,0,0,2024-10-21 20:13:04
motorcycle,0,0,0,0,4,25,3,0,2024-10-21 20:13:04
truck,0,0,0,0,0,3,0,0,2024-10-21 20:13:04
bus,0,0,0,0,0,0,0,0,2024-10-22 12:50:00
car,6,8,5,1,5,8,2,3,2024-10-22 12:50:00
motorcycle,18,9,23,1,28,51,7,16,2024-10-22 12:50:00
truck,0,1,1,0,1,1,0,2,2024-10-22 12:50:00
bus,0,0,0,0,0,0,0,0,2024-10-22 12:50:07
car,6,9,5,1,6,8,3,3,2024-10-22 12:50:07
motorcycle,18,9,23,1,30,51,8,16,2024-10-22 12:50:07
truck,0,2,1,0,2,1,0,2,2024-10-22 12:50:07
bus,0,0,0,0,0,0,0,0,2024-11-09 15:29:04
car,0,0,0,0,0,0,0,0,2024-11-09 15:29:04
motorcycle,0,0,0,0,0,0,0,0,2024-11-09 15:29:04
truck,0,0,0,0,0,0,0,0,2024-11-09 15:29:04
bus,0,0,0,0,0,0,0,0,2024-11-09 15:30:30
car,2,2,0,0,0,1,0,0,2024-11-09 15:30:30
motorcycle,1,0,0,0,0,1,0,0,2024-11-09 15:30:30
truck,0,0,1,0,0,0,0,0,2024-11-09 15:30:30
